repo,topic,language,size,#sent,#word,#code_sent,#code_word,#gss_sent,#gss_word,#gss_code_sent,#gss_code_word,#gss_link,#gss_link_sent
golang/go,21266,Go,2,129,599,56,171,17,138,6,12,0,0
JakeWharton/butterknife,31,Java,2,176,603,100,228,13,85,0,0,0,0
google/gson,649,Java,2,103,551,13,31,33,185,8,19,1,1
vuejs/vue,6351,JavaScript,2,193,1273,20,52,38,406,0,0,2,2
vuejs/vue,6235,JavaScript,2,170,1117,19,63,23,145,1,6,5,5
airbnb/lottie-android,1177,Java,4,169,757,5,12,11,81,1,4,9,9
airbnb/lottie-android,524,Java,3,243,689,24,57,15,94,0,0,9,9
airbnb/lottie-android,1284,Java,2,206,888,112,308,19,89,6,8,2,2
ohmyzsh/ohmyzsh,7642,Shell,2,131,750,19,76,53,304,16,65,0,0
ohmyzsh/ohmyzsh,3009,Shell,3,109,669,17,78,29,191,6,24,15,16
PrestaShop/PrestaShop,9863,PHP,5,129,556,0,0,10,76,0,0,2,2
PrestaShop/PrestaShop,9641,PHP,3,124,633,0,0,16,106,0,0,1,1
hexchat/hexchat,1137,C,2,187,1395,4,30,8,65,0,0,0,0
grafana/grafana,18690,TypeScript,2,262,1511,118,438,78,519,39,216,6,6
grafana/grafana,15622,TypeScript,2,222,1361,7,77,30,243,7,77,12,12
flutter/flutter,13937,Dart,2,196,861,132,521,77,359,59,251,4,4
angular/angular,14757,TypeScript,3,138,734,24,93,22,120,0,0,14,14
angular/angular,17181,TypeScript,2,165,807,36,130,12,98,3,22,5,6
angular/angular,22434,TypeScript,2,129,639,51,130,20,178,0,0,1,2
keras-team/keras,4178,Python,2,282,1335,99,426,52,284,23,87,13,13
keras-team/keras,5221,Python,4,245,1240,132,509,63,313,41,134,6,6
httpie/httpie,78,Python,2,158,600,76,213,43,170,26,63,1,1
systemd/systemd,13470,C,2,76,519,2,12,33,267,2,12,1,1
systemd/systemd,12955,C,3,143,855,34,185,45,304,17,126,4,4
microsoft/vscode,94807,TypeScript,2,271,988,0,0,55,159,0,0,0,0
microsoft/vscode,66774,TypeScript,2,143,763,2,2,25,128,2,2,6,6
tensorflow/tensorflow,6809,C++,2,271,1276,16,120,22,159,0,0,3,3
tensorflow/tensorflow,27955,C++,2,152,619,54,151,27,122,6,21,15,15
PhilJay/MPAndroidChart,133,Java,2,111,542,53,197,49,275,36,146,2,2
PhilJay/MPAndroidChart,2452,Java,2,146,571,88,292,26,139,6,15,2,2
google/guava,807,Java,2,149,1179,16,39,58,409,16,39,3,3
pallets/flask,2389,Python,2,127,504,45,174,21,86,5,24,24,24
pallets/flask,170,Python,2,96,603,2,15,18,161,0,0,1,3
nvaccess/nvda,1707,Python,2,97,661,0,0,12,132,0,0,5,5
nvaccess/nvda,3188,Python,5,110,652,0,0,22,163,0,0,13,13
vuetifyjs/vuetify,838,TypeScript,2,77,542,1,10,15,115,0,0,5,5
vuetifyjs/vuetify,1561,TypeScript,2,210,1047,36,90,41,176,27,56,3,3
twbs/bootstrap,10202,JavaScript,2,69,525,6,10,5,68,0,0,1,1
twbs/bootstrap,26716,JavaScript,2,128,879,5,8,47,421,3,5,0,0
runelite/runelite,1662,Java,3,76,554,0,0,22,225,0,0,3,10
highcharts/highcharts,2280,TypeScript,3,135,699,18,35,39,277,0,0,3,3
highcharts/highcharts,1093,TypeScript,2,110,550,17,26,50,213,16,23,1,1
highcharts/highcharts,979,TypeScript,2,122,698,12,24,15,120,0,0,1,1
mozilla-mobile/fenix,9636,Kotlin,6,142,870,2,4,24,160,0,0,26,26
mozilla-mobile/fenix,12982,Kotlin,5,125,664,0,0,26,100,0,0,20,21
elastic/elasticsearch,37637,Java,2,107,660,52,360,19,124,2,10,4,4
elastic/elasticsearch,68609,Java,2,199,866,149,559,26,156,9,51,11,11
elastic/elasticsearch,24167,Java,2,131,776,94,516,31,389,13,199,3,3
electron/electron,19569,C++,3,113,511,5,11,23,97,0,0,25,28
electron/electron,2810,C++,3,80,507,16,35,17,164,4,11,1,1
WordPress/gutenberg,11463,JavaScript,2,159,949,21,84,46,196,0,0,5,5
WordPress/gutenberg,17334,JavaScript,2,92,784,0,0,38,444,0,0,5,5
WordPress/gutenberg,7964,JavaScript,3,129,782,0,0,32,172,0,0,12,13
WordPress/gutenberg,25965,JavaScript,2,42,435,0,0,25,281,0,0,4,4
harvesthq/chosen,2839,HTML,3,91,701,3,30,16,161,0,0,5,5
spring-projects/spring-boot,20995,Java,3,86,806,4,11,36,377,0,0,0,0
spring-projects/spring-boot,16580,Java,2,98,643,28,106,17,175,0,0,0,0
zxing/zxing,302,Java,2,114,754,0,0,21,211,0,0,4,4
zxing/zxing,261,Java,2,149,941,0,0,32,165,0,0,17,17
mapbox/mapbox-gl-native,3130,C++,2,104,663,0,0,12,94,0,0,3,3
